date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:41	112/112	U-----	200	untouched ('OK')	text/html	etag:%2270-5c069ca8aa9ef%22	http://www.royalclub.tw/	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/index.html	(from )
20:22:42	0/0	U-----	200	untouched ('OK')	text/plain	date:Wed,%2010%20May%202023%2001:36:05%20GMT	http://www.royalclub.tw/robots.txt		(from )
20:22:43	22952/22952	U--M--	200	updated ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:43%20GMT	http://www.royalclub.tw/bbs3/index.php	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/index.html	(from http://www.royalclub.tw/)
20:22:43	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:22:44%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=team&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist4915.php	(from http://www.royalclub.tw/bbs3/index.php)
20:22:43	566/566	U-----	200	untouched ('OK')	text/css	etag:%22236-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet54d3.css	(from http://www.royalclub.tw/bbs3/index.php)
20:22:44	9071/9071	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:45%20GMT	http://www.royalclub.tw/bbs3/ucp.php?mode=login&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/ucp0f76.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:45	9834/9834	U-----	200	untouched ('OK')	text/css	etag:%22266a-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/responsive.css?assets_version=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/responsive54d3.css	(from http://www.royalclub.tw/bbs3/index.php)
20:22:45	203/203	U-----	200	untouched ('OK')	text/css	etag:%22cb-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/en/stylesheet.css?assets_version=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/en/stylesheet54d3.css	(from http://www.royalclub.tw/bbs3/index.php)
20:22:46	1882/1882	---M--	503	error ('Service%20Unavailable')	text/html	date:Tue,%2016%20May%202023%2012:22:46%20GMT	http://www.royalclub.tw/bbs3/ucp.php?mode=register&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/ucp9848.php	(from http://www.royalclub.tw/bbs3/index.php)
20:22:47	20699/20699	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:47%20GMT	http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/indexb118.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:47	1882/1882	---M--	503	error ('Service%20Unavailable')	text/html	date:Tue,%2016%20May%202023%2012:22:47%20GMT	http://www.royalclub.tw/bbs3/search.php?sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/searchb118.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:47	12304/12304	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:48%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=1&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforumcc4a.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:49	41513/41513	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:48%20GMT	http://www.royalclub.tw/bbs3/search.php?search_id=unanswered&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/searcheb3e.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:49	12718/12718	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:49%20GMT	http://www.royalclub.tw/bbs3/search.php?search_id=active_topics&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/search1ab5.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:50	50040/50040	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:50%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=3&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforum73e3.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:52	34601/34601	U--M--	200	updated ('OK')	application/atom+xml	date:Mon,%2015%20May%202023%2007:31:41%20GMT	http://www.royalclub.tw/bbs3/feed.php?mode=topics	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/feed9d17.php	(from http://www.royalclub.tw/bbs3/index.php)
20:22:52	16348/16348	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:51%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=3&p=758&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopic4519.html	(from http://www.royalclub.tw/bbs3/index.php)
